export,import 1,import 2,import 3
Abrasive Powder,Boat Propellers,Umbrellas,Seats
Acrylic Polymers,Ketones and Quinones,"Sulfonated, Nitrated or Nitrosated Hydrocarbons",Halogenated Hydrocarbons
Activated Carbon,Pitch Coke,Hydrometers,Plastic Housewares
Acyclic Alcohols,Acyclic Hydrocarbons,Reaction and Catalytic Products,Refined Petroleum
Agglomerated Cork,Prepared Cotton,Other Cutlery,Debacked Cork
Air Conditioners,Bedspreads,Refined Copper,Plastic Housewares
Air Pumps,Wood Kitchenware,Musical Instrument Parts,Electromagnets
Aldehydes,Refined Copper,"Industrial Fatty Acids, Oils and Alcohols",Cyclic Hydrocarbons
Aluminium Bars,Densified Wood,Other Iron Products,Paper Containers
Aluminium Cans,Other Coloring Matter,Other Nitrogen Compounds,Rubber Inner Tubes
Aluminium Foil,Non-Retail Pure Cotton Yarn,Iron Ore,Sulfate Chemical Woodpulp
Aluminium Housewares,Glass Balls,Styrene Polymers,Raw Copper
Aluminium Oxide,Other Mineral,Other Copper Products,Scrap Copper
Aluminium Pipe Fittings,Medical Furniture,Electric Batteries,Plastic Lids
Aluminium Pipes,Iron Springs,Casting Machines,Silicates
Aluminium Plating,Other Lead Products,Nickel Bars,Rubber Footwear
Aluminium Structures,Stone Working Machines,Tulles and Net Fabric,Knitted or crocheted fabrics of a width exceeding 30 cm
Aluminium Wire,Scrap Copper,Metallic Fabric,Stranded Copper Wire
Amine Compounds,Carboxyamide Compounds,Unsaturated Acyclic Monocarboxylic Acids,Ketones and Quinones
Amino-resins,Cellulose,Acrylic Polymers,Halogenated Hydrocarbons
Animal Fat,Plastic Lids,Small Iron Containers,Rubber Tires
Animal Food,Other Agricultural Machinery,Industrial Food Preperation Machinery,Paper Containers
Animal Meal and Pellets,Rubber Belting,Wheat,Other Agricultural Machinery
Animal or Vegetable Fertilizers,Iron Structures,Other Iron Products,Twine and Rope
Antibiotics,Iron Ore,Pitch Coke,Chemical Analysis Instruments
Antifreeze,Electrical Ignitions,Confectionery Sugar,Flat-Rolled Stainless Steel
Antiknock,Alkylbenzenes and Alkylnaphthalenes,Surveying Equipment,Light Fixtures
Apples and Pears,Kraft Paper,Other Non-Knit Clothing Accessories,Other Knit Clothing Accessories
Aqueous Paints,Copper Housewares,Ornamental Ceramics,Knit Sweaters
Architectural Plans,Other Leather Articles,Instructional Models,Neck Ties
Artificial Filament Sewing Thread,Chemical Analysis Instruments,Copper Powder,Audio Alarms
Artificial Filament Yarn Woven Fabric,Non-Retail Artificial Filament Yarn,Non-Retail Silk Yarn,Other Vegetable Fibers Fabric
Artificial Fur,Tulles and Net Fabric,Flax Fibers,Thermostats
Artificial Graphite,Tulles and Net Fabric,Raw Nickel,Ferroalloys
Artificial Vegetation,Iron Ore,Sulfate Chemical Woodpulp,Recovered Paper Pulp
Artistry Paints,Prepared Paint Driers,Ethylene Polymers,Non-Retail Animal Hair Yarn
Asbestos Cement Articles,Felt or Coated Fabric Garments,Pumice,Iron Housewares
Asbestos Fibres,Forging Machines,Metal Finishing Machines,Liquid Fuel Furnaces
Asphalt,Retail Wool or Animal Hair Yarn,Nickel Pipes,Knitted Hats
Audio Alarms,Other Engines,Bells and Other Metal Ornaments,Iron Housewares
"Awnings, Tents, and Sails",Equine and Bovine Hides,Scrap Plastic,Stranded Copper Wire
Baked Goods,Industrial Food Preperation Machinery,Washing and Bottling Machines,Other Plastic Sheetings
Balances,Boat Propellers,Other Electrical Machinery,Broadcasting Equipment
Ball Bearings,Wood Kitchenware,Household Washing Machines,Copper Pipes
Bananas,Grapes,Human Hair,Umbrella and Walking Stick Accessories
Bandages,Copper Housewares,Audio Alarms,Zinc Sheets
Barley,Other Agricultural Machinery,Mill Machinery,Harvesting Machinery
Base Metal Watches,Imitation Jewellery,Hats,Other Knit Clothing Accessories
Basketwork,Microphones and Headphones,Non-Knit Women's Shirts,Non-Knit Women's Suits
Bathroom Ceramics,Iron Ore,Sulfate Chemical Woodpulp,Recovered Paper Pulp
Batteries,Glass Balls,Non-Retail Combed Wool Yarn,Other Isotopes
Beauty Products,Umbrellas,Frozen Vegetables,Base Metal Watches
Bedspreads,Refined Copper,Other Vegetable Residues,Phenols
Beer,Paper Containers,Other Plastic Sheetings,Other Agricultural Machinery
Bells and Other Metal Ornaments,Iron Ore,Artificial Textile Machinery,Electrical Resistors
Bi-Wheel Vehicle Parts,Recovered Paper Pulp,Copper Foil,Non-Retail Animal Hair Yarn
"Bicycles, delivery tricycles, other cycles",Flat-Rolled Iron,Bi-Wheel Vehicle Parts,Tanned Goat Hides
Binoculars and Telescopes,Fairground Amusements,Instructional Models,"Awnings, Tents, and Sails"
Blank Audio Media,Office Machine Parts,Medical Instruments,Instructional Models
Blankets,Soybeans,Looms,Non-Retail Pure Cotton Yarn
Boiler Plants,Iron Powder,Hot-Rolled Iron,Other Stainless Steel Bars
Book-binding Machines,Umbrellas,Other Frozen Vegetables,Clock Cases and Parts
Bovine,Oil Seed Flower,Other Small Iron Pipes,Cereal Meal and Pellets
Bran,Poultry,Other Agricultural Machinery,Paper Containers
Broadcasting Accessories,Signaling Glassware,Copper Foil,Broadcasting Equipment
Broadcasting Equipment,Watch Straps,Precious Stone Dust,Optical Fibers and optical fibre bundles
Brochures,Processed Mushrooms,Rubber Sheets,Special Pharmaceuticals
Brooms,Equine and Bovine Hides,Soybeans,Artificial Textile Machinery
Buckwheat,Mill Machinery,Prefabricated Buildings,Sunflower Seeds
Building Stone,Tulles and Net Fabric,Stone Working Machines,Labels
Bulbs and Roots,Ceramic Tableware,Portable Lighting,Traffic Signals
Butter,Dairy Machinery,Particle Board,Iron Housewares
Buttons,Other Women's Undergarments,Knitted or crocheted fabrics of a width not exceeding 30 cm,Other Vegetable Fibers Fabric
Cabbages,Melons,Raw Sugar,Nitrites and Nitrates
Calculators,Gold,Other Edible Animal Products,Copper Housewares
Calendars,Coal Tar Oil,Chemical Analysis Instruments,Other Sugars
Candles,Reclaimed Rubber,Scrap Plastic,Ground Nut Meal
Carbides,Pitch Coke,Coral and Shells,Other Mineral
Carbon,Nickel Pipes,"Industrial Fatty Acids, Oils and Alcohols",Chemical Analysis Instruments
Carbon-based Electronics,Stone Working Machines,Pitch Coke,Ball Bearings
Carbonates,Non-Mechanical Removal Machinery,Pulley Systems,Machinery Having Individual Functions
Carboxylic Acids,Chemical Analysis Instruments,Phenols,Other Tin Products
Carded Wool or Animal Hair Fabric,Horsehair Yarn,Non-Knit Men's Shirts,Carboxyamide Compounds
Cars,Motor vehicles; parts and accessories (8701 to 8705),Electrical Lighting and Signalling Equipment,Seats
Cast Iron Pipes,Aluminium Plating,Glass Working Machines,Other Plastic Products
Cast or Rolled Glass,Cobalt,"Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers, semiconductor devices, electronic integrated circuits or flat panel displays","Niobium, Tantalum, Vanadium and Zirconium Ore"
Casting Machines,Graphite,Manganese,Petroleum Gas
Cathode Tubes,Uncoated Paper,Other Domestic Electric Housewares,Laboratory Glassware
Cellulose,Borax,Vegetable Saps,Amine Compounds
Cellulose Fibers Paper,Non-woven Textiles,Uncoated Paper,Kaolin Coated Paper
Cement,Wood Crates,Small Iron Containers,Wheat
Cement Articles,Raw Plastic Sheeting,Float Glass,Synthetic Filament Yarn Woven Fabric
Central Heating Boilers,Liquid Fuel Furnaces,Other Plastic Sheetings,Other Iron Products
Centrifuges,Bells and Other Metal Ornaments,Light Fixtures,Salt
Ceramic Bricks,Rolling Machines,Stone Working Machines,Machinery Having Individual Functions
Ceramic Tableware,Ethylene Polymers,Clocks with Watch Movements,Sugar Preserved Foods
Cereal Meal and Pellets,Harvesting Machinery,Mill Machinery,Other Agricultural Machinery
Cermets,Zinc Powder,Silver,Nickel Powder
Chalk,Other Coloring Matter,Phosphinates (hypophosphites) and phosphonates (phosphites),Aluminium Housewares
Chalkboards,Leather further prepared after tanning or crusting of sheep or lamb,Equine and Bovine Hides,Other Edible Animal Products
Cheese,Peat,Particle Board,Milk
Chemical Analysis Instruments,Sawn Wood,Uncoated Paper,Rubber Stamps
Chlorates and Perchlorates,Other Headwear,Mechanical Wood Pulp,Cooking Hand Tools
Chlorides,Cutlery Sets,Casting Machines,Other Mineral
Chocolate,Confectionery Sugar,Washing and Bottling Machines,Other Plastic Sheetings
Citrus,Dried Fruits,Buckwheat,Animal or Vegetable Fertilizers
Clays,Iron Housewares,Other Iron Products,"Awnings, Tents, and Sails"
Cleaning Products,Waxes,Acrylic Polymers,Polyacetals
Cloves,Pepper,Spice Seeds,"Nutmeg, mace and cardamons"
Coal Briquettes,Machinery Having Individual Functions,Centrifuges,Aluminium Wire
Coal Tar Oil,Chlorides,Coated Flat-Rolled Iron,Other Iron Products
Coated Flat-Rolled Iron,Coal Briquettes,Knit Gloves,Coke
Coated Metal Soldering Products,Other Plastic Products,Centrifuges,Glass Bulbs
Coated Textile Fabric,Silk-worm Cocoons,Platinum Clad Metals,Reclaimed Rubber
Cocoa Powder,Cocoa Paste,Copper Housewares,Soybean Meal
"Coconuts, Brazil Nuts, and Cashews",Aluminium Foil,Knit Active Wear,Raw Plastic Sheeting
Coffee,Sulphur,Titanium,Oxygen Heterocyclic Compounds
